iter	RMSE
504	1331.22527
505	1330.674464
506	1330.655513
507	1329.62359
508	1329.19214
509	1329.176146
510	1328.036858
511	1326.474421
512	1323.801115
513	1322.832678
514	1321.876531
515	1320.251394
516	1319.900283
517	1319.575749
518	1318.676513
519	1318.063032
520	1316.539659
521	1316.04182
522	1315.221745
523	1314.649376
524	1314.044067
525	1313.638873
526	1312.478315
527	1312.191476
528	1310.829207
529	1310.241509
530	1309.736487
531	1308.680785
532	1308.645429
533	1307.812281
534	1305.599034
535	1304.864855
536	1304.353495
537	1303.430662
538	1301.813077
539	1301.721974
540	1301.209072
541	1300.106081
542	1299.294516
543	1297.76385
544	1297.729708
545	1296.631246
546	1296.617967
547	1296.605314
548	1296.151374
549	1295.592846
550	1294.720696
551	1294.161305
552	1293.215143
553	1292.192613
554	1292.180202
555	1290.886934
556	1290.015918
557	1289.316844
558	1289.307571
559	1289.251396
560	1289.224519
561	1288.742147
562	1288.710075
563	1287.536005
564	1286.381045
565	1286.326957
566	1285.889951
567	1284.855674
568	1283.987
569	1282.830591
570	1282.451373
571	1281.073823
572	1279.971718
573	1278.713374
574	1278.035844
575	1276.445941
576	1275.403545
577	1274.36867
578	1273.412396
579	1272.389883
580	1270.39967
581	1270.388793
582	1269.994621
583	1269.944266
584	1269.171564
585	1268.777923
586	1267.697443
587	1267.042668
588	1266.147287
589	1266.099277
590	1265.818798
591	1264.793644
592	1264.461929
593	1264.099392
594	1262.861975
595	1262.810906
596	1261.891275
597	1260.925894
598	1259.946708
599	1259.540833
600	1259.066932
601	1258.523147
602	1257.798306
603	1257.076317
604	1256.718635
605	1256.464849
606	1256.242587
607	1255.553142
608	1255.285059
609	1254.769957
610	1254.71848
611	1254.041698
612	1253.732282
613	1252.536485
614	1252.103325
615	1251.724868
616	1251.365042
617	1250.417492
618	1250.363973
619	1249.118117
620	1248.425086
621	1247.548924
622	1246.83592
623	1246.159702
624	1245.718565
625	1245.121387
626	1244.513816
627	1244.01791
628	1243.806926
629	1243.215659
630	1242.828417
631	1242.335589
632	1242.2848
633	1241.502634
634	1240.039417
635	1239.045657
636	1238.401136
637	1238.095272
638	1237.179478
639	1236.781452
640	1236.735951
641	1236.695763
642	1236.088448
643	1235.734377
644	1235.708958
645	1235.684382
646	1235.643181
647	1234.666711
648	1233.042633
649	1233.029005
650	1232.396004
651	1232.350334
652	1231.915517
653	1231.331376
654	1230.918017
655	1230.905198
656	1230.097289
657	1229.151267
658	1228.946514
659	1227.866784
660	1226.410002
661	1225.398344
662	1225.359271
663	1224.659256
664	1224.102189
665	1224.065879
666	1223.129945
667	1222.423258
668	1222.071966
669	1221.084116
670	1221.072164
671	1221.030273
672	1220.309426
673	1219.556938
674	1217.782421
675	1217.021024
676	1216.348013
677	1216.30945
678	1215.583647
679	1215.560457
680	1214.824485
681	1213.622721
682	1212.952319
683	1211.859765
684	1211.266356
685	1210.887937
686	1210.857288
687	1210.341392
688	1209.500376
689	1208.822487
690	1208.777682
691	1207.743763
692	1207.709134
693	1207.075628
694	1206.579342
695	1206.089811
696	1205.491628
697	1205.036632
698	1204.341854
699	1204.288918
700	1203.138376
701	1202.615653
702	1201.729787
703	1201.404404
704	1201.131216
705	1201.106076
706	1201.072809
707	1201.068441
708	1200.92527
709	1200.309942
710	1199.744473
711	1199.362821
712	1198.920825
713	1198.331343
714	1197.829808
715	1197.826522
716	1196.879717
717	1196.389372
718	1195.949382
719	1195.886441
720	1195.793419
721	1194.954459
722	1194.617632
723	1193.68144
724	1193.632121
725	1192.911393
726	1192.329438
727	1191.161452
728	1191.158644
729	1190.62984
730	1190.09654
731	1189.031324
732	1188.673048
733	1187.999594
734	1187.51984
735	1187.063837
736	1186.468059
737	1186.46211
738	1186.168618
739	1185.859165
740	1185.027575
741	1183.487828
742	1182.900315
743	1182.448892
744	1181.737657
745	1181.371022
746	1180.90714
747	1180.21809
748	1179.914144
749	1179.483892
750	1179.091192
751	1178.30636
752	1177.70273
753	1177.489492
754	1176.143545
755	1175.191812
756	1174.3459
757	1173.636514
758	1173.123653
759	1172.402282
760	1172.055078
761	1171.631453
762	1171.266365
763	1170.349136
764	1169.565034
765	1168.987311
766	1168.372929
767	1167.390703
768	1166.673399
769	1166.151995
770	1165.54653
771	1165.122261
772	1164.777449
773	1164.646194
774	1164.287646
775	1162.875209
776	1162.433371
777	1161.889402
778	1161.526481
779	1161.212247
780	1160.630339
781	1160.223761
782	1159.711159
783	1159.299084
784	1158.44151
785	1158.360248
786	1157.81118
787	1157.248602
788	1156.936016
789	1156.618101
790	1155.387116
791	1155.275487
792	1154.624606
793	1153.96308
794	1153.480764
795	1153.006908
796	1152.178085
797	1151.820104
798	1151.651788
799	1151.321024
800	1150.86467
801	1150.166922
802	1149.290055
803	1148.257918
804	1147.889873
805	1147.2951
806	1146.741322
807	1146.589811
808	1145.824041
809	1145.546542
810	1144.552719
811	1143.807065
812	1143.616771
813	1142.846387
814	1142.310317
815	1141.685361
816	1140.890734
817	1140.331923
818	1140.058001
819	1139.548178
820	1139.251012
821	1138.480026
822	1137.847207
823	1137.353632
824	1136.504881
825	1136.068302
826	1135.689754
827	1135.167654
828	1134.54106
829	1133.988881
830	1133.813904
831	1133.540012
832	1133.387955
833	1133.190976
834	1132.955983
835	1132.582736
836	1132.265908
837	1131.930074
838	1131.654531
839	1131.189714
840	1130.81639
841	1130.515733
842	1129.929241
843	1129.29649
844	1128.643316
845	1128.213513
846	1127.652052
847	1126.700369
848	1126.103042
849	1125.625053
850	1125.255285
851	1125.042342
852	1124.751011
853	1124.48401
854	1124.02102
855	1123.348413
856	1122.239176
857	1121.553972
858	1121.061372
859	1120.626117
860	1120.124793
861	1119.483912
862	1119.334667
863	1118.696452
864	1118.425024
865	1117.863866
866	1117.104628
867	1116.806587
868	1115.834798
869	1115.686784
870	1115.42172
871	1114.871723
872	1114.787381
873	1113.805807
874	1113.067235
875	1112.734477
876	1112.430237
877	1112.23004
878	1111.842932
879	1111.079146
880	1110.175156
881	1109.984599
882	1109.61026
883	1109.006362
884	1108.560817
885	1108.120915
886	1107.709056
887	1107.226289
888	1106.866002
889	1106.555533
890	1105.958162
891	1105.597028
892	1105.308167
893	1104.904624
894	1103.53896
895	1103.01293
896	1102.516149
897	1101.840045
898	1101.454951
899	1100.742129
900	1100.006226
901	1099.685929
902	1099.488413
903	1098.964306
904	1098.064435
905	1097.88395
906	1097.502914
907	1096.670575
908	1096.224261
909	1095.585292
910	1095.087912
911	1094.537885
912	1094.200196
913	1093.646856
914	1093.200662
915	1092.581187
916	1091.884824
917	1091.385019
918	1090.674217
919	1090.323648
920	1089.349888
921	1088.834722
922	1087.778623
923	1087.284822
924	1086.837314
925	1086.374226
926	1086.131397
927	1085.667734
928	1085.501601
929	1084.998229
930	1084.022172
931	1083.448417
932	1082.933322
933	1082.786157
934	1082.162248
935	1081.647302
936	1081.031646
937	1080.311634
938	1080.040476
939	1079.650313
940	1079.063645
941	1078.88499
942	1078.120857
943	1077.722921
944	1077.243401
945	1076.573071
946	1075.881109
947	1075.682994
948	1075.252563
949	1074.808172
950	1074.268297
951	1074.078104
952	1073.273023
953	1073.20192
954	1072.722579
955	1072.187817
956	1072.003411
957	1070.957633
958	1070.458469
959	1070.369205
960	1070.199589
961	1069.425338
962	1069.083298
963	1068.783382
964	1068.227811
965	1067.930869
966	1067.631311
967	1067.189741
968	1066.845693
969	1066.77298
970	1066.710622
971	1066.26839
972	1065.867841
973	1065.23757
974	1064.873292
975	1064.556718
976	1063.430615
977	1062.896392
978	1062.834787
979	1062.695565
980	1062.273277
981	1062.234389
982	1061.792498
983	1061.622934
984	1060.995917
985	1060.760953
986	1060.483672
987	1059.998349
988	1059.942174
989	1058.898779
990	1058.506344
991	1058.090151
992	1057.278387
993	1056.750451
994	1056.682243
995	1056.209032
996	1055.944568
997	1055.901596
998	1055.362961
999	1054.854985
