Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Minute
IndiGo,Banglore,Delhi,180,0.0,No info,4990.0,21,6,2019,19,55,16,55
Jet Airways,Delhi,Cochin,1760,2.0,No info,12819.0,27,6,2019,4,25,23,5
Air India,Delhi,Cochin,1125,1.0,No info,10671.0,15,5,2019,8,15,13,30
Vistara,Banglore,New Delhi,175,0.0,No info,21730.0,1,3,2019,0,5,21,10
IndiGo,Mumbai,Hyderabad,90,0.0,No info,2754.0,9,6,2019,13,30,12,0
Air India,Mumbai,Hyderabad,80,0.0,No info,3625.0,6,5,2019,7,40,6,20
IndiGo,Chennai,Kolkata,140,0.0,No info,5277.0,18,5,2019,0,25,22,5
Jet Airways,Delhi,Cochin,1060,2.0,No info,17282.0,9,3,2019,4,25,10,45
Jet Airways,Kolkata,Banglore,790,1.0,No info,13339.0,24,3,2019,19,40,6,30
Multiple carriers,Delhi,Cochin,535,1.0,No info,9526.0,1,6,2019,19,15,10,20
Jet Airways,Banglore,New Delhi,495,1.0,In-flight meal not included,7832.0,21,3,2019,15,15,7,0
IndiGo,Chennai,Kolkata,140,0.0,No info,3597.0,1,5,2019,17,5,14,45
Air India,Delhi,Cochin,1220,2.0,No info,10467.0,21,5,2019,9,25,13,5
IndiGo,Mumbai,Hyderabad,90,0.0,No info,2227.0,1,4,2019,22,50,21,20
Jet Airways,Delhi,Cochin,1210,1.0,In-flight meal not included,10262.0,15,6,2019,19,0,22,50
SpiceJet,Kolkata,Banglore,155,0.0,No check-in baggage included,3841.0,9,4,2019,9,30,6,55
Vistara,Banglore,New Delhi,160,0.0,No info,11913.0,3,3,2019,22,20,19,40
Jet Airways,Kolkata,Banglore,1400,1.0,In-flight meal not included,8529.0,12,6,2019,18,15,18,55
Jet Airways,Delhi,Cochin,650,1.0,No info,12242.0,27,3,2019,18,50,8,0
Air India,Delhi,Cochin,1660,1.0,No info,8635.0,24,3,2019,7,40,4,0
Jet Airways,Banglore,New Delhi,435,1.0,In-flight meal not included,7832.0,21,3,2019,16,10,8,55
Air India,Kolkata,Banglore,1665,2.0,No info,16057.0,15,5,2019,13,45,10,0
IndiGo,Chennai,Kolkata,140,0.0,No info,5277.0,27,3,2019,0,25,22,5
Jet Airways,Delhi,Cochin,1270,1.0,No info,16079.0,21,5,2019,19,0,21,50
IndiGo,Delhi,Cochin,500,1.0,No info,5684.0,24,6,2019,1,30,17,10
Multiple carriers,Delhi,Cochin,560,1.0,No info,7005.0,27,5,2019,21,0,11,40
SpiceJet,Kolkata,Banglore,155,0.0,No check-in baggage included,3841.0,24,5,2019,9,30,6,55
Jet Airways,Delhi,Cochin,620,1.0,In-flight meal not included,10262.0,27,6,2019,12,35,2,15
Air Asia,Kolkata,Banglore,150,0.0,No info,4384.0,6,3,2019,1,20,22,50
Multiple carriers,Delhi,Cochin,780,1.0,No info,11789.0,15,6,2019,19,0,6,0
Multiple carriers,Delhi,Cochin,675,1.0,No info,16108.0,1,6,2019,19,15,8,0
Air India,Banglore,New Delhi,1640,2.0,No info,12074.0,3,3,2019,10,50,7,30
Jet Airways,Delhi,Cochin,335,1.0,No info,14714.0,9,6,2019,4,25,22,50
IndiGo,Chennai,Kolkata,145,0.0,No info,3858.0,21,3,2019,14,0,11,35
Multiple carriers,Delhi,Cochin,795,1.0,No info,8266.0,21,5,2019,19,15,6,0
IndiGo,Delhi,Cochin,350,1.0,No info,13628.0,3,3,2019,13,20,7,30
SpiceJet,Kolkata,Banglore,435,1.0,No info,8844.0,15,5,2019,18,30,11,15
Multiple carriers,Delhi,Cochin,440,1.0,No info,8323.0,9,4,2019,13,20,6,0
Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,5769.0,21,6,2019,11,20,8,20
Multiple carriers,Delhi,Cochin,900,1.0,No info,8475.0,27,5,2019,21,0,6,0
Multiple carriers,Delhi,Cochin,555,1.0,No info,14323.0,15,5,2019,19,15,10,0
Multiple carriers,Delhi,Cochin,630,1.0,No info,10051.0,27,5,2019,19,15,8,45
SpiceJet,Kolkata,Banglore,155,0.0,No check-in baggage included,3841.0,9,6,2019,9,30,6,55
GoAir,Delhi,Cochin,310,1.0,No info,19495.0,6,3,2019,19,20,14,10
Air India,Banglore,New Delhi,170,0.0,No info,12841.0,3,3,2019,16,10,13,20
Air India,Kolkata,Banglore,1385,2.0,No info,14960.0,12,6,2019,8,55,9,50
IndiGo,Delhi,Cochin,480,1.0,No info,10208.0,21,3,2019,15,30,7,30
Air India,Delhi,Cochin,170,0.0,No info,6094.0,18,4,2019,8,0,5,10
Jet Airways,Delhi,Cochin,1775,2.0,In-flight meal not included,11150.0,27,6,2019,19,0,13,25
Vistara,Delhi,Cochin,190,0.0,No info,6216.0,3,6,2019,17,50,14,40
Jet Airways,Delhi,Cochin,440,1.0,No info,13244.0,21,3,2019,18,50,11,30
Jet Airways,Delhi,Cochin,300,1.0,In-flight meal not included,12898.0,21,5,2019,19,0,14,0
Jet Airways,Kolkata,Banglore,1120,1.0,No info,13067.0,6,5,2019,15,5,20,25
Air India,Delhi,Cochin,955,1.0,No info,7258.0,27,5,2019,9,35,17,40
Jet Airways,Mumbai,Hyderabad,85,0.0,No info,8040.0,21,5,2019,8,30,7,5
Multiple carriers,Delhi,Cochin,450,1.0,No info,7408.0,15,6,2019,1,30,18,0
Jet Airways,Delhi,Cochin,330,1.0,No info,16289.0,21,5,2019,12,35,7,5
Jet Airways,Delhi,Cochin,1375,2.0,No info,15129.0,6,5,2019,4,25,5,30
IndiGo,Banglore,Delhi,165,0.0,No info,3943.0,6,6,2019,4,15,1,30
IndiGo,Banglore,New Delhi,170,0.0,No info,7648.0,9,3,2019,19,45,16,55
Jet Airways,Delhi,Cochin,620,1.0,No info,18371.0,12,6,2019,12,35,2,15
Air India,Delhi,Cochin,865,2.0,No info,8367.0,27,3,2019,7,40,17,15
Air India,Delhi,Cochin,2170,2.0,No info,11552.0,6,3,2019,19,15,7,5
Multiple carriers,Delhi,Cochin,390,1.0,No info,8073.0,6,5,2019,1,30,19,0
IndiGo,Kolkata,Banglore,155,0.0,No info,4804.0,15,6,2019,7,15,4,40
Jet Airways,Kolkata,Banglore,1450,1.0,No info,12121.0,9,5,2019,9,45,9,35
IndiGo,Kolkata,Banglore,325,1.0,No info,6218.0,9,5,2019,23,30,18,5
IndiGo,Mumbai,Hyderabad,95,0.0,No info,2227.0,3,6,2019,21,40,20,5
IndiGo,Kolkata,Banglore,265,1.0,No info,3574.0,12,6,2019,23,45,19,20
Air India,Kolkata,Banglore,1410,2.0,No info,13437.0,12,5,2019,16,15,16,45
Air India,Delhi,Cochin,1245,2.0,No info,11753.0,3,6,2019,7,40,10,55
IndiGo,Banglore,New Delhi,260,1.0,No info,5607.0,15,3,2019,20,35,16,15
IndiGo,Kolkata,Banglore,155,0.0,No info,4804.0,27,6,2019,12,10,9,35
Air India,Banglore,Delhi,170,0.0,No info,6961.0,3,6,2019,16,10,13,20
IndiGo,Banglore,Delhi,170,0.0,No info,3943.0,18,5,2019,13,0,10,10
Jet Airways,Kolkata,Banglore,735,1.0,No info,13731.0,24,5,2019,8,15,20,0
Air India,Kolkata,Banglore,1485,1.0,No info,6528.0,6,5,2019,15,20,14,35
Jet Airways,Delhi,Cochin,1355,1.0,In-flight meal not included,12373.0,9,5,2019,12,35,14,0
Multiple carriers,Delhi,Cochin,555,1.0,No info,9646.0,1,6,2019,22,30,13,15
IndiGo,Kolkata,Banglore,150,0.0,No info,4804.0,6,6,2019,17,45,15,15
Air India,Kolkata,Banglore,960,1.0,No info,12173.0,24,3,2019,12,30,20,30
Jet Airways,Delhi,Cochin,1375,2.0,In-flight meal not included,13029.0,18,5,2019,4,25,5,30
Multiple carriers,Delhi,Cochin,645,1.0,No info,7677.0,6,6,2019,19,15,8,30
IndiGo,Delhi,Cochin,480,1.0,No info,14871.0,3,3,2019,15,30,7,30
SpiceJet,Banglore,New Delhi,170,0.0,No info,4377.0,18,3,2019,23,20,20,30
Jet Airways,Delhi,Cochin,810,2.0,In-flight meal not included,10368.0,6,6,2019,19,0,5,30
Multiple carriers,Delhi,Cochin,540,1.0,No info,6723.0,24,6,2019,16,10,7,10
IndiGo,Kolkata,Banglore,170,0.0,No info,4778.0,3,3,2019,8,20,5,30
Jet Airways,Kolkata,Banglore,435,1.0,In-flight meal not included,5608.0,12,6,2019,17,35,10,20
Air India,Kolkata,Banglore,1650,3.0,No info,13007.0,6,5,2019,10,30,7,0
Multiple carriers,Delhi,Cochin,845,1.0,No info,10877.0,9,6,2019,19,0,4,55
Air India,Mumbai,Hyderabad,85,0.0,No info,3100.0,12,5,2019,16,25,15,0
IndiGo,Kolkata,Banglore,155,0.0,No info,4148.0,21,3,2019,17,45,15,10
Jet Airways,Delhi,Cochin,520,1.0,In-flight meal not included,10262.0,6,6,2019,4,25,19,45
Air India,Kolkata,Banglore,1440,1.0,No info,6528.0,12,6,2019,14,35,14,35
SpiceJet,Kolkata,Banglore,435,1.0,No info,8479.0,1,5,2019,18,50,11,35
Air India,Kolkata,Banglore,1045,2.0,No info,12723.0,24,5,2019,23,15,5,50
Jet Airways,Kolkata,Banglore,875,1.0,In-flight meal not included,8586.0,9,5,2019,4,40,14,5
Jet Airways,Kolkata,Banglore,1365,1.0,No info,14151.0,6,6,2019,19,10,20,25
Jet Airways,Kolkata,Banglore,435,1.0,In-flight meal not included,7064.0,6,5,2019,17,35,10,20
Air India,Kolkata,Banglore,805,1.0,No info,10413.0,24,5,2019,20,25,7,0
Air India,Delhi,Cochin,180,0.0,No info,6934.0,24,5,2019,17,10,14,10
Air India,Banglore,New Delhi,1030,2.0,No info,10573.0,3,3,2019,23,55,6,45
Multiple carriers,Delhi,Cochin,420,1.0,No info,13587.0,6,6,2019,21,0,14,0
SpiceJet,Chennai,Kolkata,155,0.0,No info,3859.0,24,3,2019,12,5,9,30
Jet Airways,Delhi,Cochin,1430,2.0,No info,15129.0,21,5,2019,19,0,19,10
Jet Airways,Delhi,Cochin,440,2.0,No info,21219.0,6,5,2019,19,0,11,40
GoAir,Banglore,Delhi,165,0.0,No info,3898.0,9,6,2019,23,40,20,55
Air India,Kolkata,Banglore,745,1.0,No info,12173.0,24,3,2019,8,55,20,30
Jet Airways,Delhi,Cochin,335,1.0,No info,15554.0,9,5,2019,4,25,22,50
IndiGo,Kolkata,Banglore,280,1.0,No info,5699.0,1,4,2019,22,15,17,35
Vistara,Banglore,New Delhi,915,1.0,No info,10008.0,9,3,2019,21,55,6,40
IndiGo,Mumbai,Hyderabad,90,0.0,No info,2437.0,3,5,2019,22,50,21,20
Multiple carriers,Delhi,Cochin,535,1.0,No info,8266.0,12,6,2019,19,15,10,20
Jet Airways,Delhi,Cochin,800,1.0,No info,15764.0,6,3,2019,4,25,15,5
Air India,Delhi,Cochin,795,1.0,No info,8907.0,18,5,2019,23,0,9,45
IndiGo,Banglore,New Delhi,165,0.0,No info,4944.0,21,3,2019,3,25,0,40
Vistara,Kolkata,Banglore,1580,1.0,No info,8452.0,21,5,2019,22,40,20,20
Vistara,Banglore,New Delhi,1665,1.0,No info,12371.0,1,3,2019,10,25,6,40
Jet Airways,Kolkata,Banglore,590,1.0,In-flight meal not included,9899.0,12,6,2019,16,20,6,30
Air Asia,Banglore,New Delhi,165,0.0,Red-eye flight,10873.0,1,3,2019,2,10,23,25
Air India,Kolkata,Banglore,925,1.0,No info,7893.0,1,4,2019,8,55,17,30
Jet Airways,Kolkata,Banglore,1005,1.0,No info,14151.0,12,5,2019,9,45,17,0
Jet Airways,Banglore,New Delhi,1035,1.0,No info,13817.0,12,3,2019,16,10,22,55
Air India,Kolkata,Banglore,1665,2.0,No info,16057.0,15,5,2019,13,45,10,0
GoAir,Banglore,Delhi,170,0.0,No info,3898.0,15,6,2019,14,30,11,40
Multiple carriers,Delhi,Cochin,480,1.0,No info,7933.0,1,6,2019,21,0,13,0
IndiGo,Mumbai,Hyderabad,90,0.0,No info,3175.0,3,4,2019,18,25,16,55
Jet Airways,Delhi,Cochin,810,2.0,No info,15129.0,21,5,2019,12,35,23,5
SpiceJet,Delhi,Cochin,380,1.0,No info,7317.0,18,5,2019,22,5,15,45
Air India,Kolkata,Banglore,1100,1.0,No info,8366.0,12,6,2019,11,10,16,50
Jet Airways,Kolkata,Banglore,960,1.0,In-flight meal not included,10844.0,9,6,2019,12,0,20,0
Jet Airways,Kolkata,Banglore,425,1.0,In-flight meal not included,10844.0,18,5,2019,23,35,16,30
Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,6144.0,21,4,2019,10,10,7,10
