,Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Minute
101,Jet Airways,Kolkata,Banglore,735,1.0,No info,14939.0,9,6,2019,8,15,20,0
102,Jet Airways,Delhi,Cochin,450,1.0,In-flight meal not included,10262.0,24,6,2019,4,25,20,55
103,Air India,Kolkata,Banglore,1440,1.0,No info,6528.0,12,5,2019,14,35,14,35
104,Air India,Banglore,Delhi,165,0.0,No info,6121.0,1,5,2019,8,55,6,10
105,Jet Airways,Delhi,Cochin,535,2.0,In-flight meal not included,13029.0,18,5,2019,4,25,19,30
106,Multiple carriers,Delhi,Cochin,430,1.0,No info,11421.0,27,3,2019,18,50,11,40
107,Multiple carriers,Delhi,Cochin,870,1.0,No info,7574.0,27,3,2019,19,15,4,45
108,Air India,Delhi,Cochin,1820,2.0,No info,11596.0,9,5,2019,19,15,12,55
109,Jet Airways,Delhi,Cochin,1195,2.0,No info,15129.0,24,5,2019,19,0,23,5
110,Jet Airways,Banglore,New Delhi,900,1.0,No info,13555.0,18,3,2019,5,5,14,5
111,IndiGo,Banglore,Delhi,175,0.0,No info,5780.0,12,4,2019,21,50,18,55
112,Vistara,Kolkata,Banglore,765,1.0,No info,9397.0,12,5,2019,9,5,20,20
113,Jet Airways,Delhi,Cochin,610,1.0,No info,17024.0,6,3,2019,4,25,18,15
114,GoAir,Delhi,Cochin,355,1.0,No info,5281.0,27,6,2019,12,55,7,0
115,Multiple carriers,Delhi,Cochin,925,1.0,No info,10348.0,18,5,2019,22,30,7,5
116,Air India,Delhi,Cochin,965,1.0,No info,12677.0,6,3,2019,9,25,17,20
117,Multiple carriers,Delhi,Cochin,610,1.0,No info,15147.0,3,3,2019,1,35,15,25
118,Vistara,Banglore,Delhi,160,0.0,No info,4668.0,12,6,2019,9,40,7,0
119,Jet Airways,Delhi,Cochin,715,1.0,No info,15554.0,9,5,2019,19,0,7,5
120,SpiceJet,Banglore,Delhi,160,0.0,No info,3971.0,9,4,2019,8,35,5,55
121,Air India,Mumbai,Hyderabad,85,0.0,No info,3100.0,3,5,2019,16,25,15,0
122,Jet Airways,Kolkata,Banglore,845,1.0,In-flight meal not included,9663.0,6,5,2019,10,5,20,0
123,Air India,Delhi,Cochin,1215,1.0,No info,27430.0,1,3,2019,19,15,23,0
124,IndiGo,Chennai,Kolkata,145,0.0,No info,3540.0,12,5,2019,7,40,5,15
125,Air India,Kolkata,Banglore,1390,2.0,No info,10676.0,21,5,2019,11,10,12,0
126,Jet Airways,Kolkata,Banglore,1090,1.0,No info,13044.0,12,6,2019,8,15,14,5
127,Jet Airways,Kolkata,Banglore,960,1.0,No info,14388.0,6,5,2019,12,0,20,0
128,IndiGo,Banglore,Delhi,170,0.0,No info,3943.0,24,6,2019,6,50,4,0
129,IndiGo,Chennai,Kolkata,140,0.0,No info,3597.0,3,6,2019,17,5,14,45
130,Air India,Banglore,New Delhi,480,1.0,No info,5932.0,21,3,2019,19,50,11,50
131,Jet Airways,Delhi,Cochin,1015,1.0,In-flight meal not included,10262.0,15,6,2019,4,25,11,30
132,Vistara,Delhi,Cochin,190,0.0,No info,6216.0,12,5,2019,17,50,14,40
133,IndiGo,Kolkata,Banglore,165,0.0,No info,4804.0,15,6,2019,23,10,20,25
134,Multiple carriers,Delhi,Cochin,840,1.0,No info,14067.0,21,5,2019,1,30,11,30
135,Jet Airways,Delhi,Cochin,1430,2.0,No info,15129.0,18,5,2019,19,0,19,10
136,Jet Airways,Delhi,Cochin,1300,2.0,No info,13376.0,6,6,2019,4,25,6,45
137,Air India,Delhi,Cochin,1275,2.0,No info,10441.0,27,6,2019,19,15,22,0
138,Jet Airways,Banglore,Delhi,165,0.0,In-flight meal not included,4030.0,24,5,2019,8,45,6,0
139,Jet Airways,Delhi,Cochin,650,1.0,No info,17024.0,3,3,2019,18,50,8,0
140,Multiple carriers,Delhi,Cochin,480,1.0,No info,13017.0,9,4,2019,1,30,17,30
141,GoAir,Kolkata,Banglore,495,1.0,No info,6686.0,6,6,2019,7,45,23,30
142,IndiGo,Delhi,Cochin,325,1.0,No info,5636.0,15,6,2019,7,25,2,0
143,IndiGo,Delhi,Cochin,515,1.0,No info,6442.0,9,6,2019,16,10,7,35
144,Multiple carriers,Delhi,Cochin,710,1.0,No info,9486.0,21,5,2019,0,55,13,5
145,Jet Airways,Kolkata,Banglore,1655,1.0,In-flight meal not included,10844.0,21,5,2019,23,35,20,0
146,Jet Airways,Delhi,Cochin,505,2.0,In-flight meal not included,15318.0,3,6,2019,4,25,20,0
147,Air India,Delhi,Cochin,1255,1.0,No info,5117.0,3,4,2019,9,25,12,30
148,IndiGo,Delhi,Cochin,290,1.0,No info,6147.0,24,6,2019,20,0,15,10
149,Multiple carriers,Delhi,Cochin,490,1.0,No info,7005.0,9,6,2019,21,0,12,50
150,SpiceJet,Kolkata,Banglore,140,0.0,No info,3873.0,3,4,2019,0,40,22,20
151,Jet Airways,Delhi,Cochin,1465,2.0,In-flight meal not included,9270.0,21,3,2019,18,50,18,25
152,GoAir,Banglore,Delhi,170,0.0,No info,3898.0,27,6,2019,14,30,11,40
153,Jet Airways,Kolkata,Banglore,740,1.0,No info,14781.0,12,5,2019,20,45,8,25
154,Jet Airways,Kolkata,Banglore,735,1.0,In-flight meal not included,8586.0,24,5,2019,8,15,20,0
155,Air India,Kolkata,Banglore,1415,2.0,No info,10697.0,9,5,2019,7,55,8,20
156,Jet Airways,Delhi,Cochin,995,2.0,No info,14300.0,27,6,2019,12,35,20,0
157,IndiGo,Banglore,New Delhi,170,0.0,No info,8855.0,3,3,2019,21,45,18,55
158,Jet Airways,Kolkata,Banglore,1545,1.0,In-flight meal not included,10844.0,12,5,2019,18,15,16,30
159,Jet Airways,Delhi,Cochin,1570,1.0,No info,17024.0,6,3,2019,4,25,2,15
160,Jet Airways,Kolkata,Banglore,1730,1.0,In-flight meal not included,9314.0,1,5,2019,14,25,9,35
161,IndiGo,Banglore,New Delhi,165,0.0,No info,4777.0,24,3,2019,3,25,0,40
162,Air India,Kolkata,Banglore,1515,1.0,No info,7662.0,9,6,2019,13,15,12,0
163,IndiGo,Delhi,Cochin,560,1.0,No info,6442.0,9,5,2019,16,10,6,50
164,SpiceJet,Delhi,Cochin,270,1.0,No info,5264.0,12,6,2019,13,15,8,45
165,Jet Airways,Delhi,Cochin,925,1.0,In-flight meal not included,12898.0,27,5,2019,4,25,13,0
166,Air India,Mumbai,Hyderabad,90,0.0,No info,6092.0,3,3,2019,15,25,13,55
167,SpiceJet,Banglore,Delhi,160,0.0,No info,3311.0,21,5,2019,8,35,5,55
168,Jet Airways,Delhi,Cochin,550,1.0,In-flight meal not included,6540.0,27,3,2019,4,25,19,15
169,IndiGo,Banglore,Delhi,165,0.0,No info,3419.0,27,5,2019,4,15,1,30
170,Jet Airways,Delhi,Cochin,1355,1.0,In-flight meal not included,5177.0,3,4,2019,12,35,14,0
171,Air India,Delhi,Cochin,185,0.0,No info,8246.0,18,4,2019,21,10,18,5
172,Jet Airways,Kolkata,Banglore,690,1.0,No info,14676.0,9,6,2019,21,5,9,35
173,Multiple carriers,Delhi,Cochin,570,1.0,No info,13587.0,27,6,2019,21,0,11,30
174,Jet Airways,Kolkata,Banglore,730,1.0,In-flight meal not included,9663.0,6,5,2019,9,20,21,10
175,Jet Airways,Kolkata,Banglore,1055,1.0,No info,13044.0,12,6,2019,10,5,16,30
176,IndiGo,Delhi,Cochin,305,1.0,No info,5073.0,3,4,2019,1,30,20,25
177,Vistara,Kolkata,Banglore,1550,1.0,No info,9345.0,21,5,2019,18,50,17,0
178,Jet Airways,Kolkata,Banglore,1200,1.0,In-flight meal not included,9663.0,6,5,2019,10,5,14,5
179,Multiple carriers,Delhi,Cochin,780,1.0,No info,14277.0,21,5,2019,21,0,8,0
180,Jet Airways,Delhi,Cochin,1105,1.0,In-flight meal not included,10262.0,1,6,2019,4,25,10,0
181,Jet Airways,Mumbai,Hyderabad,90,0.0,No info,5678.0,27,3,2019,21,5,19,35
182,Multiple carriers,Delhi,Cochin,570,1.0,No info,13727.0,15,5,2019,1,30,16,0
183,Jet Airways,Kolkata,Banglore,960,1.0,In-flight meal not included,9663.0,6,5,2019,12,0,20,0
184,IndiGo,Chennai,Kolkata,140,0.0,No info,3858.0,12,5,2019,17,5,14,45
185,SpiceJet,Delhi,Cochin,270,1.0,No info,4812.0,24,6,2019,13,15,8,45
186,IndiGo,Delhi,Cochin,345,1.0,No info,5775.0,27,6,2019,3,35,21,50
187,Jet Airways,Kolkata,Banglore,1450,1.0,In-flight meal not included,10539.0,6,6,2019,9,45,9,35
188,IndiGo,Kolkata,Banglore,155,0.0,No info,4804.0,3,6,2019,18,5,15,30
189,Air Asia,Banglore,Delhi,165,0.0,No info,3383.0,12,6,2019,13,55,11,10
190,IndiGo,Banglore,New Delhi,295,1.0,No info,8738.0,3,3,2019,17,5,12,10
191,Air India,Delhi,Cochin,1535,1.0,No info,7165.0,27,3,2019,6,50,5,15
192,IndiGo,Delhi,Cochin,380,1.0,No info,6412.0,24,6,2019,22,30,16,10
193,Jet Airways,Banglore,Delhi,185,0.0,No info,8016.0,27,6,2019,22,0,18,55
194,Jet Airways,Banglore,New Delhi,1120,1.0,In-flight meal not included,11087.0,12,3,2019,15,15,20,35
195,SpiceJet,Chennai,Kolkata,135,0.0,No check-in baggage included,3543.0,27,6,2019,12,0,9,45
196,Jet Airways,Kolkata,Banglore,730,1.0,No info,12471.0,12,6,2019,4,40,16,30
197,Jet Airways,Delhi,Cochin,1165,1.0,In-flight meal not included,10262.0,24,6,2019,4,25,9,0
198,Air India,Banglore,New Delhi,170,0.0,No info,4441.0,18,3,2019,16,10,13,20
199,Multiple carriers,Delhi,Cochin,505,1.0,No info,12537.0,27,3,2019,15,30,7,5
200,GoAir,Kolkata,Banglore,555,1.0,No info,10091.0,24,3,2019,7,40,22,25
201,Air India,Banglore,Delhi,170,0.0,No info,6961.0,3,6,2019,23,55,21,5
202,IndiGo,Delhi,Cochin,195,0.0,No info,5013.0,24,4,2019,8,50,5,35
203,Air India,Delhi,Cochin,170,0.0,No info,6934.0,18,5,2019,8,0,5,10
204,Multiple carriers,Delhi,Cochin,740,1.0,No info,10877.0,3,6,2019,19,0,6,40
205,Jet Airways,Banglore,Delhi,175,0.0,No info,7229.0,18,4,2019,18,10,15,15
206,IndiGo,Delhi,Cochin,575,1.0,No info,7048.0,27,3,2019,1,35,16,0
207,Vistara,Banglore,Delhi,155,0.0,No info,4878.0,27,6,2019,19,35,17,0
208,Jet Airways,Kolkata,Banglore,570,1.0,In-flight meal not included,10844.0,21,5,2019,23,35,14,5
209,Jet Airways,Delhi,Cochin,1760,2.0,No info,15129.0,18,5,2019,4,25,23,5
210,IndiGo,Banglore,Delhi,175,0.0,No info,3943.0,12,5,2019,3,25,0,30
211,SpiceJet,Delhi,Cochin,315,1.0,No info,5583.0,6,6,2019,11,20,6,5
212,Multiple carriers,Delhi,Cochin,545,1.0,No info,9646.0,6,6,2019,16,10,7,5
213,Multiple carriers,Delhi,Cochin,645,1.0,No info,7677.0,3,6,2019,19,15,8,30
214,IndiGo,Delhi,Cochin,295,1.0,No info,6842.0,1,6,2019,10,5,5,10
215,Jet Airways,Mumbai,Hyderabad,90,0.0,In-flight meal not included,4995.0,24,6,2019,10,15,8,45
216,Vistara,Kolkata,Banglore,700,1.0,No info,9555.0,9,6,2019,18,50,7,10
217,IndiGo,Banglore,Delhi,165,0.0,No info,4077.0,1,6,2019,4,15,1,30
218,Jet Airways,Banglore,Delhi,175,0.0,No info,7229.0,12,5,2019,18,10,15,15
219,Multiple carriers,Delhi,Cochin,600,1.0,No info,12192.0,9,6,2019,19,0,9,0
220,Air India,Banglore,Delhi,165,0.0,No info,5911.0,12,4,2019,12,45,10,0
221,Air India,Delhi,Cochin,615,1.0,No info,8372.0,12,6,2019,19,15,9,0
222,Jet Airways,Mumbai,Hyderabad,85,0.0,In-flight meal not included,4995.0,18,3,2019,8,35,7,10
223,Multiple carriers,Delhi,Cochin,555,1.0,No info,14323.0,9,5,2019,19,15,10,0
224,Jet Airways,Delhi,Cochin,1375,2.0,No info,13014.0,9,6,2019,4,25,5,30
225,Air India,Delhi,Cochin,1730,2.0,No info,13591.0,6,6,2019,19,15,14,25
226,Jet Airways,Delhi,Cochin,2245,2.0,No info,18799.0,3,3,2019,18,50,5,25
227,IndiGo,Banglore,Delhi,170,0.0,No info,3943.0,27,4,2019,2,20,23,30
228,SpiceJet,Mumbai,Hyderabad,90,0.0,No check-in baggage included,1965.0,21,5,2019,7,15,5,45
229,Jet Airways,Mumbai,Hyderabad,90,0.0,In-flight meal not included,4995.0,27,5,2019,11,50,10,20
230,Air India,Kolkata,Banglore,1540,1.0,No info,14641.0,24,3,2019,18,30,16,50
231,Air India,Kolkata,Banglore,155,0.0,No info,4460.0,12,4,2019,23,20,20,45
232,Air India,Delhi,Cochin,375,1.0,No info,10191.0,18,5,2019,19,15,13,0
233,Jet Airways,Delhi,Cochin,1050,1.0,In-flight meal not included,13843.0,9,3,2019,19,45,2,15
234,IndiGo,Delhi,Cochin,345,1.0,No info,6349.0,1,5,2019,3,35,21,50
235,Air Asia,Kolkata,Banglore,155,0.0,No info,4409.0,1,5,2019,12,55,10,20
236,Jet Airways,Delhi,Cochin,1530,1.0,No info,17024.0,6,3,2019,19,45,18,15
237,Multiple carriers,Delhi,Cochin,835,1.0,No info,13727.0,18,5,2019,21,0,7,5
238,IndiGo,Banglore,New Delhi,175,0.0,No info,8855.0,15,3,2019,21,20,18,25
239,Multiple carriers,Delhi,Cochin,615,1.0,No info,12524.0,24,6,2019,19,0,8,45
240,Jet Airways,Banglore,New Delhi,520,1.0,No info,13555.0,18,3,2019,20,20,11,40
241,Jet Airways,Kolkata,Banglore,330,1.0,In-flight meal not included,10844.0,6,6,2019,12,0,6,30
242,Multiple carriers,Delhi,Cochin,720,1.0,No info,13587.0,9,6,2019,21,0,9,0
243,SpiceJet,Chennai,Kolkata,135,0.0,No check-in baggage included,3543.0,12,6,2019,12,0,9,45
244,Vistara,Chennai,Kolkata,135,0.0,No info,4842.0,18,3,2019,9,20,7,5
245,IndiGo,Banglore,Delhi,170,0.0,No info,3943.0,24,4,2019,2,20,23,30
246,Jet Airways,Delhi,Cochin,550,1.0,In-flight meal not included,10577.0,9,6,2019,4,25,19,15
247,IndiGo,Delhi,Cochin,625,1.0,No info,6979.0,15,5,2019,21,0,10,35
248,Vistara,Chennai,Kolkata,140,0.0,No info,11982.0,27,6,2019,20,5,17,45
249,SpiceJet,Delhi,Cochin,270,1.0,No info,5264.0,6,6,2019,13,15,8,45
250,Vistara,Delhi,Cochin,190,0.0,No info,8001.0,3,3,2019,9,10,6,0
251,Air India,Delhi,Cochin,1410,2.0,No info,10651.0,1,6,2019,19,15,19,45
252,Jet Airways,Kolkata,Banglore,1640,1.0,In-flight meal not included,10844.0,24,5,2019,19,50,16,30
253,Multiple carriers,Delhi,Cochin,755,1.0,No info,6601.0,27,3,2019,22,20,9,45
254,Air India,Delhi,Cochin,1455,1.0,No info,6587.0,21,3,2019,19,15,19,0
255,SpiceJet,Mumbai,Hyderabad,80,0.0,No info,3173.0,21,3,2019,14,30,13,10
256,Air India,Banglore,Delhi,165,0.0,No info,5228.0,9,5,2019,12,45,10,0
257,Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,5769.0,21,6,2019,10,10,7,10
258,Jet Airways,Delhi,Cochin,660,1.0,No info,14714.0,6,6,2019,19,0,8,0
259,Jet Airways,Delhi,Cochin,810,2.0,No info,13014.0,3,6,2019,19,0,5,30
260,IndiGo,Banglore,Delhi,170,0.0,No info,3359.0,3,6,2019,1,0,22,10
261,GoAir,Banglore,New Delhi,175,0.0,No info,6722.0,3,3,2019,23,50,20,55
262,IndiGo,Kolkata,Banglore,165,0.0,No info,4462.0,18,3,2019,12,20,9,35
263,IndiGo,Delhi,Cochin,675,1.0,No info,6171.0,9,3,2019,16,10,4,55
264,Air India,Kolkata,Banglore,875,2.0,No info,12303.0,21,5,2019,20,25,5,50
265,Multiple carriers,Delhi,Cochin,835,1.0,No info,7695.0,21,3,2019,1,35,11,40
266,IndiGo,Delhi,Cochin,845,1.0,No info,5684.0,24,6,2019,1,30,11,25
267,Air India,Kolkata,Banglore,905,1.0,No info,8366.0,12,6,2019,7,55,16,50
268,Air India,Chennai,Kolkata,135,0.0,No info,19630.0,1,3,2019,13,55,11,40
269,Jet Airways,Banglore,New Delhi,900,1.0,In-flight meal not included,13502.0,6,3,2019,5,5,14,5
270,Jet Airways,Kolkata,Banglore,775,1.0,No info,14781.0,1,5,2019,10,5,21,10
271,Multiple carriers,Delhi,Cochin,540,1.0,No info,6513.0,12,6,2019,16,10,7,10
272,Air India,Delhi,Cochin,735,1.0,No info,9929.0,1,6,2019,19,15,7,0
273,Multiple carriers,Delhi,Cochin,460,2.0,No info,18275.0,6,6,2019,1,30,17,50
274,Air India,Delhi,Cochin,1640,1.0,No info,4487.0,9,4,2019,9,25,6,5
275,IndiGo,Mumbai,Hyderabad,85,0.0,No info,2754.0,15,3,2019,22,45,21,20
276,Air India,Mumbai,Hyderabad,80,0.0,No info,2575.0,27,3,2019,7,40,6,20
277,SpiceJet,Kolkata,Banglore,330,1.0,No info,8224.0,12,6,2019,21,25,15,55
278,Air India,Delhi,Cochin,705,1.0,No info,8991.0,9,3,2019,8,15,20,30
279,IndiGo,Delhi,Cochin,195,0.0,No info,5000.0,24,6,2019,8,50,5,35
280,Jet Airways,Kolkata,Banglore,1495,1.0,In-flight meal not included,8529.0,12,6,2019,19,50,18,55
